first_word,second_word,bigram,count
"قبل","المغرب","قبل المغرب",523
"شنو","the","شنو the",498
"the","price","the price",476
"if","i","if i",458
"price","if","price if",450
"i","take","i take",447
"أول","مرة","أول مرة",308
"عيد","ميلاد","عيد ميلاد",229
"مرة","أشتري","مرة أشتري",186
"أنا","أول","أنا أول",159
"عميل","دايم","عميل دايم",149
"من","عندكم","من عندكم",132
"اليوم","بس","اليوم بس",129
"شي","رخيص","شي رخيص",128
"المغرب","اليوم","المغرب اليوم",115
"بس","ما","بس ما",111
"right","now","right now",108
"إذا","ممكن","إذا ممكن",107
"أنا","دايم","أنا دايم",95
"دايم","ا","دايم ا",94
"حق","عيد","حق عيد",93
"أعرف","إذا","أعرف إذا",92
"إذا","في","إذا في",92
"أشتري","منكم","أشتري منكم",91
"إذا","ما","إذا ما",90
"اليوم","فقط","اليوم فقط",85
"شي","يكون","شي يكون",80
"ميلاد","أخوي","ميلاد أخوي",80
"لعيد","ميلاد","لعيد ميلاد",76
"أشتري","من","أشتري من",75
"أنا","عميل","أنا عميل",74
"عرض","خاص","عرض خاص",74
"أخوي","يبي","أخوي يبي",73
"قبل","ما","قبل ما",73
"أنا","من","أنا من",72
"ممكن","تساعدوني","ممكن تساعدوني",71
"اللي","عندكم","اللي عندكم",68
"عروض","خاصة","عروض خاصة",68
"في","شي","في شي",67
"حل","سريع","حل سريع",66
"دايم","عندكم","دايم عندكم",64
"الأسبوع","الجاي","الأسبوع الجاي",62
"عندي","مشكلة","عندي مشكلة",62
"عيد","ميلاده","عيد ميلاده",61
"أبي","شي","أبي شي",61
"اليوم","قبل","اليوم قبل",60
"سمعت","إنه","سمعت إنه",60
"الجمعة","الجاية","الجمعة الجاية",58
"أحتاج","شي","أحتاج شي",57
"كيف","الحال","كيف الحال",56
"عندي","استفسار","عندي استفسار",56
"لو","سمحت","لو سمحت",55
"هل","في","هل في",54
"دايم","customer","دايم customer",54
"عندي","وقت","عندي وقت",54
"قبل","الجمعة","قبل الجمعة",51
"سمعت","عن","سمعت عن",50
"مرة","أطلب","مرة أطلب",50
"إذا","عندكم","إذا عندكم",49
"أعرف","شنو","أعرف شنو",49
"إنه","في","إنه في",47
"صار","لي","صار لي",45
"عندكم","شي","عندكم شي",44
"شاء","الله","شاء الله",44
"أطلب","منكم","أطلب منكم",44
"في","عرض","في عرض",42
"أخوي","يبغى","أخوي يبغى",42
"لعيد","ميلاده","لعيد ميلاده",41
"هدية","عيد","هدية عيد",40
"أسأل","عن","أسأل عن",40
"هلا","والله","هلا والله",40
"في","عروض","في عروض",39
"إذا","فيه","إذا فيه",39
"لأن","عندي","لأن عندي",38
"سمعت","إن","سمعت إن",38
"شي","مناسب","شي مناسب",37
"في","أي","في أي",37
"ما","أقدر","ما أقدر",37
"ما","عندي","ما عندي",37
"أبغى","شي","أبغى شي",37
"بأسرع","وقت","بأسرع وقت",37
"my","brother","my brother",36
"ممكن","أعرف","ممكن أعرف",36
"عندكم","عروض","عندكم عروض",36
"شي","ثاني","شي ثاني",36
"أنا","عندي","أنا عندي",36
"الجمعة","الياية","الجمعة الياية",35
"مشكلة","مع","مشكلة مع",35
"خاص","اليوم","خاص اليوم",35
"ما","في","ما في",34
"وما","توقعت","وما توقعت",34
"عشان","عيد","عشان عيد",34
"عندي","مناسبة","عندي مناسبة",33
"لأن","أخوي","لأن أخوي",32
"شي","مميز","شي مميز",32
"يكون","سعره","يكون سعره",31
"أتعامل","معاكم","أتعامل معاكم",31
"شكر","ا","شكر ا",31
"قبل","لا","قبل لا",31
"حق","أخوي","حق أخوي",30
"استفسار","عن","استفسار عن",30
"أنا","زبون","أنا زبون",30
"في","خصم","في خصم",29
"أبغي","شي","أبغي شي",29
"next","friday","next friday",29
"يوم","الجمعة","يوم الجمعة",29
"ما","أدري","ما أدري",29
"خصوص","ا","خصوص ا",29
"هل","ممكن","هل ممكن",29
"بغيت","أسأل","بغيت أسأل",29
"مرة","أتعامل","مرة أتعامل",29
"الحال","أنا","الحال أنا",28
"شي","أرخص","شي أرخص",28
"إن","في","إن في",28
"مشكلة","في","مشكلة في",28
"في","طريقة","في طريقة",28
"ترى","أنا","ترى أنا",28
"من","الموقع","من الموقع",28
"الأسبوع","الياي","الأسبوع الياي",27
"brother","wants","brother wants",27
"يكون","رخيص","يكون رخيص",26
"يا","جماعة","يا جماعة",26
"بس","مو","بس مو",26
"أي","عروض","أي عروض",25
"تقدرون","تساعدوني","تقدرون تساعدوني",25
"أنا","في","أنا في",25
"لو","سمحتوا","لو سمحتوا",25
"كل","مرة","كل مرة",25
"شي","حق","شي حق",24
"بصراحة","أنا","بصراحة أنا",24
"أخلص","الموضوع","أخلص الموضوع",24
"ممكن","تخبرني","ممكن تخبرني",24
"بس","أبي","بس أبي",24
"كيف","أقدر","كيف أقدر",24
"في","الدوحة","في الدوحة",24
"أخوي","كان","أخوي كان",24
"شلون","أقدر","شلون أقدر",24
"the","process","the process",24
"اليوم","ممكن","اليوم ممكن",23
"المغرب","إذا","المغرب إذا",23
"أخوي","يبغي","أخوي يبغي",23
"إن","شاء","إن شاء",23
"كل","شي","كل شي",23
"عندكم","عرض","عندكم عرض",23
"ممكن","تساعدني","ممكن تساعدني",23
"وما","عندي","وما عندي",23
"أحتاج","الرد","أحتاج الرد",23
"أدور","على","أدور على",23
"عميل","عميل","عميل عميل",22
"ممكن","تعطوني","ممكن تعطوني",22
"خصم","خاص","خصم خاص",22
"أقرر","قبل","أقرر قبل",22
"قبل","نهاية","قبل نهاية",22
"لأول","مرة","لأول مرة",22
"أحتاج","أعرف","أحتاج أعرف",22
"شنو","الحل","شنو الحل",22
"أتأكد","من","أتأكد من",22
"في","تخفيضات","في تخفيضات",22
"شكرا","على","شكرا على",22
"إذا","أخذت","إذا أخذت",22
"في","الموقع","في الموقع",22
"ألغي","الطلب","ألغي الطلب",22
"اللي","طلبته","اللي طلبته",22
"ميلاد","الأسبوع","ميلاد الأسبوع",21
"في","حل","في حل",21
"فيه","عرض","فيه عرض",21
"نهاية","الأسبوع","نهاية الأسبوع",21
"فيه","عروض","فيه عروض",21
"هدية","لعيد","هدية لعيد",21
"بس","الحين","بس الحين",21
"أنا","طلبت","أنا طلبت",21
"ما","توقعت","ما توقعت",20
"وأحتاج","شي","وأحتاج شي",20
"تردون","علي","تردون علي",20
"المغرب","عشان","المغرب عشان",20
"على","مساعدتكم","على مساعدتكم",20
"عندكم","بس","عندكم بس",20
"في","أبوظبي","في أبوظبي",20
"خاصة","اليوم","خاصة اليوم",20
"يكون","فيه","يكون فيه",20
"عندكم","في","عندكم في",20
"وشنو","the","وشنو the",20
"رخيص","حق","رخيص حق",20
"شلونكم","أنا","شلونكم أنا",19
"أخوي","بعد","أخوي بعد",19
"إنه","فيه","إنه فيه",19
"عندكم","وما","عندكم وما",19
"wants","this","wants this",19
"شيء","رخيص","شيء رخيص",19
"ما","يشتغل","ما يشتغل",19
"في","مشكلة","في مشكلة",19
"زين","بس","زين بس",19
"بس","أبغى","بس أبغى",19
"ا","أشتري","ا أشتري",19
"المنتج","اللي","المنتج اللي",19
"أخوي","قال","أخوي قال",19
"يكون","في","يكون في",18
"تفاصيل","أكثر","تفاصيل أكثر",18
"يعني","لو","يعني لو",18
"أستفسر","عن","أستفسر عن",18
"بس","لازم","بس لازم",18
"أبي","أعرف","أبي أعرف",18
"كيف","حالكم","كيف حالكم",18
"وما","أقدر","وما أقدر",18
"في","جدة","في جدة",18
"في","الريان","في الريان",18
"زين","شنو","زين شنو",18
"ما","لقيت","ما لقيت",18
"قال","لي","قال لي",18
"مو","غالي","مو غالي",18
"عشان","أقرر","عشان أقرر",17
"لازم","يكون","لازم يكون",17
"ا","أتعامل","ا أتعامل",17
"أحصل","على","أحصل على",17
"في","مجال","في مجال",17
"عندي","شغل","عندي شغل",17
"بس","يكون","بس يكون",17
"بس","هالمرة","بس هالمرة",17
"لين","الجمعة","لين الجمعة",17
"عندكم","أي","عندكم أي",17
"في","صلالة","في صلالة",17
"سمعت","من","سمعت من",17
"take","rooms","take rooms",17
"أريد","شي","أريد شي",17
"شي","يناسب","شي يناسب",17
"فيه","شي","فيه شي",17
"أنا","محتاج","أنا محتاج",17
"فيه","خصم","فيه خصم",17
"طيب","شنو","طيب شنو",17
"في","المنامة","في المنامة",17
"أتواصل","مع","أتواصل مع",17
"الأسبوع","اللي","الأسبوع اللي",17
"مع","الشراء","مع الشراء",17
"ليش","ما","ليش ما",17
"في","المحرق","في المحرق",17
"الخدمة","تكون","الخدمة تكون",17
"ما","حصلت","ما حصلت",17
"يبي","شي","يبي شي",17
"عن","العروض","عن العروض",17
"عندكم","عطور","عندكم عطور",17
"حفلة","عيد","حفلة عيد",16
"سعر","أحسن","سعر أحسن",16
"يبي","نفس","يبي نفس",16
"أقدر","أنتظر","أقدر أنتظر",16
"من","قبل","من قبل",16
"توقعت","يصير","توقعت يصير",16
"ممكن","تخبروني","ممكن تخبروني",16
"ميلاده","الأسبوع","ميلاده الأسبوع",16
"لو","أخذت","لو أخذت",16
"أخوي","بس","أخوي بس",16
"من","موقعكم","من موقعكم",16
"بسرعة","لأني","بسرعة لأني",16
"جد","ا","جد ا",16
"تساعدوني","في","تساعدوني في",16
"يكون","زين","يكون زين",16
"من","مسقط","من مسقط",16
"مو","معقول","مو معقول",16
"زبون","دايم","زبون دايم",16
"مو","متأكد","مو متأكد",16
"منكم","بس","منكم بس",16
"شي","حلو","شي حلو",16
"انا","اول","انا اول",16
"بس","أبغي","بس أبغي",15
"بعد","يبي","بعد يبي",15
"فيه","أي","فيه أي",15
"شي","خاص","شي خاص",15
"أحتاج","حل","أحتاج حل",15
"في","الفندق","في الفندق",15
"اللي","في","اللي في",15
"ما","يصير","ما يصير",15
"اليوم","إذا","اليوم إذا",15
"ميلاد","ولدي","ميلاد ولدي",15
"الموضوع","اليوم","الموضوع اليوم",15
"على","الموقع","على الموقع",15
"مناسبة","عيد","مناسبة عيد",15
"منكم","وما","منكم وما",15
"بس","اليوم","بس اليوم",15
"كل","ما","كل ما",15
"من","البنك","من البنك",15
"شكرا","جزيلا","شكرا جزيلا",15
"أعرف","عن","أعرف عن",15
"سعره","مناسب","سعره مناسب",15
"يكون","مناسب","يكون مناسب",15
"اول","مره","اول مره",15
"من","المحرق","من المحرق",14
"وأبي","أعرف","وأبي أعرف",14
"عندكم","قبل","عندكم قبل",14
"في","دبي","في دبي",14
"ما","صار","ما صار",14
"تقدر","تساعدني","تقدر تساعدني",14
"طيب","إذا","طيب إذا",14
"رخيص","لأني","رخيص لأني",14
"تخفيضات","اليوم","تخفيضات اليوم",14
"الجمعة","الجاي","الجمعة الجاي",14
"محتاج","شي","محتاج شي",14
"أتأكد","إنه","أتأكد إنه",14
"يبي","واحد","يبي واحد",14
"عندي","سؤال","عندي سؤال",14
"أبي","أتأكد","أبي أتأكد",14
"أنا","اشتريت","أنا اشتريت",14
"على","شي","على شي",14
"شي","غالي","شي غالي",14
"وأبي","شي","وأبي شي",14
"زبون","عميل","زبون عميل",14
"أطلب","من","أطلب من",14
"وقت","أضيع","وقت أضيع",14
"أبي","حل","أبي حل",14
"هدية","مع","هدية مع",14
"لي","إنه","لي إنه",14
"العروض","اللي","العروض اللي",14
"إذا","كان","إذا كان",14
"في","المحل","في المحل",14
"إذا","طلبت","إذا طلبت",14
"بغيت","أعرف","بغيت أعرف",14
"عطور","جديدة","عطور جديدة",14
"استفسر","عن","استفسر عن",13
"أنا","بس","أنا بس",13
"أدري","إني","أدري إني",13
"عشان","أقدر","عشان أقدر",13
"هل","هذا","هل هذا",13
"هذا","صحيح","هذا صحيح",13
"واحد","بعد","واحد بعد",13
"أحتاجها","قبل","أحتاجها قبل",13
"شيء","يكون","شيء يكون",13
"يكون","غالي","يكون غالي",13
"بس","هل","بس هل",13
"أدور","شي","أدور شي",13
"رخيص","لأن","رخيص لأن",13
"يرد","علي","يرد علي",13
"أبغي","أعرف","أبغي أعرف",13
"ما","أعرف","ما أعرف",13
"وهل","في","وهل في",13
"اليوم","ولا","اليوم ولا",13
"خاص","قبل","خاص قبل",13
"نفس","الشي","نفس الشي",13
"عرض","اليوم","عرض اليوم",13
"مرة","يصير","مرة يصير",13
"من","الريان","من الريان",13
"وايد","على","وايد على",13
"العرض","اللي","العرض اللي",13
"أبغى","أتأكد","أبغى أتأكد",13
"المغرب","لو","المغرب لو",13
"غالي","وايد","غالي وايد",13
"اشتري","منكم","اشتري منكم",13
"لي","شنو","لي شنو",12
"بصراحة","ما","بصراحة ما",12
"ما","أريد","ما أريد",12
"المغرب","لأن","المغرب لأن",12
"أشتري","دراجة","أشتري دراجة",12
"بس","سمعت","بس سمعت",12
"عندكم","خصومات","عندكم خصومات",12
"والله","أنا","والله أنا",12
"المفروض","يكون","المفروض يكون",12
"سؤال","عن","سؤال عن",12
"لو","تقدرون","لو تقدرون",12
"دايم","وأحتاج","دايم وأحتاج",12
"أنا","بصراحة","أنا بصراحة",12
"الموضوع","قبل","الموضوع قبل",12
"شنو","عندكم","شنو عندكم",12
"حالكم","أنا","حالكم أنا",12
"دايم","وما","دايم وما",12
"رخيص","شوي","رخيص شوي",12
"أنا","ساكن","أنا ساكن",12
"مرة","ثانية","مرة ثانية",12
"كان","في","كان في",12
"بس","أنا","بس أنا",12
"ممكن","أحد","ممكن أحد",12
"اول","مرة","اول مرة",12
"الموقع","بس","الموقع بس",12
"للحين","ما","للحين ما",12
"اللي","شريته","اللي شريته",12
"الطلب","اللي","الطلب اللي",12
"وما","في","وما في",12
"علي","بسرعة","علي بسرعة",12
"ميلاد","قريب","ميلاد قريب",12
"لي","حل","لي حل",12
"عروض","على","عروض على",12
"عن","طريق","عن طريق",12
"عندكم","من","عندكم من",12
"يعطيكم","العافية","يعطيكم العافية",12
"شي","يناسبني","شي يناسبني",12
"لو","ممكن","لو ممكن",12
"أحتاج","شيء","أحتاج شيء",12
"أهم","شي","أهم شي",12
"بس","شنو","بس شنو",12
"يبغى","شي","يبغى شي",12
"رخيص","بس","رخيص بس",12
"مناسب","حق","مناسب حق",12
"take","pairs","take pairs",12
"تعطوني","سعر","تعطوني سعر",11
"حق","حفلة","حق حفلة",11
"المغرب","في","المغرب في",11
"أقدر","أحصل","أقدر أحصل",11
"ودايم","ا","ودايم ا",11
"لأني","محتاج","لأني محتاج",11
"أقدر","أطلب","أقدر أطلب",11
"استفسار","بسيط","استفسار بسيط",11
"لي","ساعة","لي ساعة",11
"customer","عندكم","customer عندكم",11
"وسمعت","عن","وسمعت عن",11
"قالوا","لي","قالوا لي",11
"عندي","عيد","عندي عيد",11
"قبل","يوم","قبل يوم",11
"اليوم","لأن","اليوم لأن",11
"ما","يخلص","ما يخلص",11
"لازم","أخلص","لازم أخلص",11
"استفسار","بخصوص","استفسار بخصوص",11
"عندكم","وأحتاج","عندكم وأحتاج",11
"أتعامل","مع","أتعامل مع",11
"مع","البنك","مع البنك",11
"في","مسقط","في مسقط",11
"خدمة","أفضل","خدمة أفضل",11
"ما","وصلني","ما وصلني",11
"إن","عندكم","إن عندكم",11
"وعليكم","السلام","وعليكم السلام",11
"شلون","يعني","شلون يعني",11
"في","الرياض","في الرياض",11
"أنا","مو","أنا مو",11
"قريب","من","قريب من",11
"لكن","ما","لكن ما",11
"في","توصيل","في توصيل",11
"أبغى","أعرف","أبغى أعرف",11
"ودي","أعرف","ودي أعرف",11
"خصومات","خاصة","خصومات خاصة",11
"عندكم","شنط","عندكم شنط",11
"أكنسل","الطلب","أكنسل الطلب",11
"دراجة","من","دراجة من",11
"ممكن","أحصل","ممكن أحصل",10
"عنده","عيد","عنده عيد",10
"أتعامل","معكم","أتعامل معكم",10
"أقدر","أجي","أقدر أجي",10
"ممكن","تفاصيل","ممكن تفاصيل",10
"في","خصومات","في خصومات",10
"أخوي","محتاج","أخوي محتاج",10
"سريع","لأن","سريع لأن",10
"أنتظر","لين","أنتظر لين",10
"أريد","أعرف","أريد أعرف",10
"نفس","المشكلة","نفس المشكلة",10
"شلونكم","عندي","شلونكم عندي",10
"ساعة","أحاول","ساعة أحاول",10
"take","bikes","take bikes",10
"من","الرياض","من الرياض",10
"هل","فيه","هل فيه",10
"ما","عندكم","ما عندكم",10
"أكثر","من","أكثر من",10
"لو","في","لو في",10
"من","أول","من أول",10
"بس","عندي","بس عندي",10
"حل","اليوم","حل اليوم",10
"وما","قدرت","وما قدرت",10
"يشتغل","زين","يشتغل زين",10
"لأني","ما","لأني ما",10
"for","his","for his",10
"ساكن","في","ساكن في",10
"شي","جديد","شي جديد",10
"شاكر","لكم","شاكر لكم",10
"ما","كان","ما كان",10
"انا","من","انا من",10
"من","المنامة","من المنامة",10
"من","حولي","من حولي",10
"طريقة","أقدر","طريقة أقدر",10
"وأتوقع","خدمة","وأتوقع خدمة",10
"أنا","ما","أنا ما",10
"اللي","فات","اللي فات",10
"سريع","لأني","سريع لأني",10
"أكون","شاكر","أكون شاكر",10
"يطلع","لي","يطلع لي",10
"ما","حصلته","ما حصلته",10
"حق","هدية","حق هدية",10
"شي","زين","شي زين",10
"take","من","take من",10
"عندكم","الحين","عندكم الحين",10
"يبغى","نفس","يبغى نفس",10
"أبغى","شيء","أبغى شيء",10
"جديدة","وصلت","جديدة وصلت",10
"أول","مره","أول مره",10
"الفرق","بين","الفرق بين",10
"take","يمكن","take يمكن",10
"بس","أحتاج","بس أحتاج",10
"شفت","شي","شفت شي",10
"مو","أول","مو أول",10
"اللي","شفتها","اللي شفتها",10
"عن","توصيل","عن توصيل",10
"عميل","مميز","عميل مميز",10
"معلومات","عن","معلومات عن",10
"متأكد","إذا","متأكد إذا",10
"أقدر","ألغي","أقدر ألغي",10
"خصم","إضافي","خصم إضافي",10
"تعطوني","تفاصيل","تعطوني تفاصيل",10
"اللي","شريتها","اللي شريتها",10
"عن","العرض","عن العرض",10
"لي","قبل","لي قبل",10
"سمعت","انه","سمعت انه",10
"هدية","لأخوي","هدية لأخوي",10
"ميلاد","أختي","ميلاد أختي",10
"فيه","تخفيضات","فيه تخفيضات",10
"توصيل","سريع","توصيل سريع",10
"غالي","بس","غالي بس",10
"take","أبي","take أبي",10
"ميلاده","بس","ميلاده بس",10
"لي","إذا","لي إذا",10
"حالة","حسابي","حالة حسابي",10
"المغرب","بس","المغرب بس",10
"اعرف","اذا","اعرف اذا",10
"الفلاش","سيل","الفلاش سيل",10
"أشتري","له","أشتري له",9
"لو","اشتريت","لو اشتريت",9
"ما","ينتهي","ما ينتهي",9
"بس","اللي","بس اللي",9
"اللي","صار","اللي صار",9
"تحلون","المشكلة","تحلون المشكلة",9
"شغل","مهم","شغل مهم",9
"يكون","قبل","يكون قبل",9
"عروض","حلوة","عروض حلوة",9
"ممكن","تردون","ممكن تردون",9
"الفندق","اللي","الفندق اللي",9
"اللي","كان","اللي كان",9
"كم","يوم","كم يوم",9
"اللي","جاي","اللي جاي",9
"نفس","الشيء","نفس الشيء",9
"يصير","هالشي","يصير هالشي",9
"شي","سريع","شي سريع",9
"مرة","أستخدم","مرة أستخدم",9
"بس","في","بس في",9
"بس","ممكن","بس ممكن",9
"لازم","أقرر","لازم أقرر",9
"السعر","مناسب","السعر مناسب",9
"كيف","حالك","كيف حالك",9
"أبي","شيء","أبي شيء",9
"عروض","زينة","عروض زينة",9
"تسوون","لي","تسوون لي",9
"علي","قبل","علي قبل",9
"عندكم","دراجات","عندكم دراجات",9
"ممكن","تعطيني","ممكن تعطيني",9
"عندي","ميزانية","عندي ميزانية",9
"شي","متوفر","شي متوفر",9
"طيب","لو","طيب لو",9
"الموقع","وما","الموقع وما",9
"عروض","اليوم","عروض اليوم",9
"مكان","ثاني","مكان ثاني",9
"اليوم","ضروري","اليوم ضروري",9
"اللي","طلبتها","اللي طلبتها",9
"بعد","يومين","بعد يومين",9
"مرة","اشتري","مرة اشتري",9
"توضحون","لي","توضحون لي",9
"هذي","أول","هذي أول",9
"كل","شوي","كل شوي",9
"من","يومين","من يومين",9
"جزيلا","على","جزيلا على",9
"ما","أحاول","ما أحاول",9
"وما","وصلني","وما وصلني",9
"بسرعة","قبل","بسرعة قبل",9
"الطلب","كان","الطلب كان",9
"الموضوع","بسرعة","الموضوع بسرعة",9
"تنصحوني","فيه","تنصحوني فيه",9
"أتأكد","إذا","أتأكد إذا",9
"ما","شاء","ما شاء",9
"شي","قبل","شي قبل",9
"في","هدية","في هدية",9
"خاص","حق","خاص حق",9
"ما","انحلت","ما انحلت",9
"انحلت","المشكلة","انحلت المشكلة",9
"راح","أضطر","راح أضطر",9
"من","حسابي","من حسابي",9
"لي","إن","لي إن",9
"خدمة","العملاء","خدمة العملاء",9
"الشنط","اللي","الشنط اللي",9
"ما","أبي","ما أبي",9
"لي","شي","لي شي",9
"وش","الحل","وش الحل",9
"هنا","في","هنا في",9
"لازم","أروح","لازم أروح",9
"لقيت","شي","لقيت شي",9
"ما","أبغى","ما أبغى",9
"عندكم","خدمة","عندكم خدمة",9
"المنتجات","اللي","المنتجات اللي",9
"اللي","طاف","اللي طاف",9
"عندكم","شيء","عندكم شيء",9
"customer","وأحتاج","customer وأحتاج",9
"توصل","قبل","توصل قبل",9
"يوصلني","قبل","يوصلني قبل",9
"هل","العرض","هل العرض",9
"لي","عن","لي عن",9
"شيء","ثاني","شيء ثاني",9
"حق","اليوم","حق اليوم",9
"عندكم","تخفيضات","عندكم تخفيضات",9
"لأن","الوقت","لأن الوقت",9
"خصم","لو","خصم لو",9
"على","المساعدة","على المساعدة",9
"عندكم","اليوم","عندكم اليوم",9
"أبحث","عن","أبحث عن",9
"انا","دايم","انا دايم",9
"كنت","أدور","كنت أدور",9
"اليوم","عشان","اليوم عشان",8
"سمعت","إنكم","سمعت إنكم",8
"الرد","بسرعة","الرد بسرعة",8
"مشكلة","ويا","مشكلة ويا",8
"الموضوع","right","الموضوع right",8
"أي","شيء","أي شيء",8
"إني","عميل","إني عميل",8
"اليوم","لأني","اليوم لأني",8
"ميلاده","اللي","ميلاده اللي",8
"رخيص","ومناسب","رخيص ومناسب",8
"أحاول","أدخل","أحاول أدخل",8
"منكم","وسمعت","منكم وسمعت",8
"أحتاج","الدراجة","أحتاج الدراجة",8
"المغرب","كنت","المغرب كنت",8
"لأني","أول","لأني أول",8
"لأنه","عيد","لأنه عيد",8
"ميلاده","قريب","ميلاده قريب",8
"ممكن","توضح","ممكن توضح",8
"توضح","لي","توضح لي",8
"فيه","مشكلة","فيه مشكلة",8
"صار","شي","صار شي",8
"بعد","ما","بعد ما",8
"أسترجع","فلوسي","أسترجع فلوسي",8
"أفكر","أشتري","أفكر أشتري",8
"سعره","زين","سعره زين",8
"ا","إني","ا إني",8
"وما","أدري","وما أدري",8
"على","تعاونكم","على تعاونكم",8
"أطلب","قبل","أطلب قبل",8
"his","birthday","his birthday",8
"في","أحد","في أحد",8
"أواجه","مشاكل","أواجه مشاكل",8
"أو","شي","أو شي",8
"وسمعت","إن","وسمعت إن",8
"وما","يصير","وما يصير",8
"مساء","الخير","مساء الخير",8
"صراحة","أنا","صراحة أنا",8
"أحد","يساعدني","أحد يساعدني",8
"كان","عندي","كان عندي",8
"الحين","ما","الحين ما",8
"اشتري","من","اشتري من",8
"شنطة","من","شنطة من",8
"أدري","إذا","أدري إذا",8
"أتكلم","مع","أتكلم مع",8
"في","الفرع","في الفرع",8
"المميزين","مثلي","المميزين مثلي",8
"لي","فترة","لي فترة",8
"وقت","أضيعه","وقت أضيعه",8
"شنو","تنصحوني","شنو تنصحوني",8
"هل","عندكم","هل عندكم",8
"بس","قبل","بس قبل",8
"شنو","الخيارات","شنو الخيارات",8
"وأبغى","أعرف","وأبغى أعرف",8
"ومو","غالي","ومو غالي",8
"رخيص","أخوي","رخيص أخوي",8
"بس","ولا","بس ولا",8
"بس","أخوي","بس أخوي",8
"عندكم","المفروض","عندكم المفروض",8
"فيه","طريقة","فيه طريقة",8
"أنا","طالب","أنا طالب",8
"ما","ينفع","ما ينفع",8
"تقولون","لي","تقولون لي",8
"مو","فاهم","مو فاهم",8
"مميز","عندكم","مميز عندكم",8
"أدري","شلون","أدري شلون",8
"المحرق","وما","المحرق وما",8
"اللي","سويته","اللي سويته",8
"بعد","شنو","بعد شنو",8
"يعني","أنا","يعني أنا",8
"بس","صار","بس صار",8
"من","الخدمة","من الخدمة",8
"بس","صراحة","بس صراحة",8
"بسرعة","لأن","بسرعة لأن",8
"كان","فيه","كان فيه",8
"ممكن","يكون","ممكن يكون",8
"مثل","ما","مثل ما",8
"أنا","سمعت","أنا سمعت",8
"بيكون","ممتاز","بيكون ممتاز",8
"take","وهل","take وهل",8
"طلبت","اليوم","طلبت اليوم",8
"بعد","بس","بعد بس",8
"منكم","وكنت","منكم وكنت",8
"تشوفون","لي","تشوفون لي",8
"منكم","وأحتاج","منكم وأحتاج",8
"من","العرض","من العرض",8
"ضروري","قبل","ضروري قبل",8
"بصراحة","أحتاج","بصراحة أحتاج",8
"خاصة","لي","خاصة لي",8
"أنا","أدور","أنا أدور",8
"تخفيضات","خاصة","تخفيضات خاصة",8
"يوصل","قبل","يوصل قبل",8
"يبغي","شي","يبغي شي",8
"صلاة","المغرب","صلاة المغرب",8
"عن","عروض","عن عروض",8
"اذا","ممكن","اذا ممكن",8
"للزبائن","المميزين","للزبائن المميزين",8
"مره","اشتري","مره اشتري",8
